árnykép	bóng	3	[0, 1, 2, 3, 4, 5]	1.0
fent	trên	18	[0, 1, 2, 3, 4, 5]	1.0
fölé	trên	73	[0, 1, 2, 3, 4, 5]	1.0
repülőgép	phi cơ	4	[0, 1, 2, 3, 4, 5]	1.0
lakás	nhà	17	[0, 1, 2, 3, 4, 5]	1.0
szamár	lừa	23	[0, 1, 2, 3, 4, 5]	1.0
bankjegy	giấy bạc	2	[0, 1, 2, 3, 4, 5]	1.0
zászló	cờ	21	[0, 1, 2, 3, 4, 5]	1.0
öböl	vịnh	50	[0, 1, 2, 3, 4, 5]	1.0
gyönyörű	đẹp	38	[0, 1, 2, 3, 4, 5]	1.0
szép	đẹp	448	[0, 1, 2, 3, 4, 5]	1.0
ágy	giường	85	[0, 1, 2, 3, 4, 5]	1.0
nagy	lớn	742	[0, 1, 2, 3, 4, 5]	1.0
bél	ruột	1	[0, 1, 2, 3, 4, 5]	1.0
doboz	hộp	16	[0, 1, 2, 3, 4, 5]	1.0
üreg	hang	3	[0, 1, 2, 3, 4, 5]	1.0
barlang	hang	30	[0, 1, 2, 3, 4, 5]	1.0
centiméter	phân	3	[0, 1, 2, 3, 4, 5]	1.0
mészkő	đá vôi	2	[0, 1, 2, 3, 4, 5]	1.0
vidám	vui	90	[0, 1, 2, 3, 4, 5]	1.0
okos	khôn	23	[0, 1, 2, 3, 4, 5]	1.0
szín	màu sắc	2	[0, 1, 2, 3, 4, 5]	1.0
folyosó	hành lang	59	[0, 1, 2, 3, 4, 5]	1.0
ország	đất	7	[0, 1, 2, 3, 4, 5]	1.0
táj	đất	2	[0, 1, 2, 3, 4, 5]	1.0
apuka	bố	6	[0, 1, 2, 3, 4, 5]	1.0
veszélyes	nguy hiểm	23	[0, 1, 2, 3, 4, 5]	1.0
kíván	muốn	32	[0, 1, 2, 3, 4, 5]	1.0
nehéz	nặng	70	[0, 1, 2, 3, 4, 5]	1.0
galamb	bồ câu	3	[0, 1, 2, 3, 4, 5]	1.0
gyógyszer	thuốc	3	[0, 1, 2, 3, 4, 5]	1.0
trágya	phân bón	1	[0, 1, 2, 3, 4, 5]	1.0
föld	đất	129	[0, 1, 2, 3, 4, 5]	1.0
gyors	nhanh	55	[0, 1, 2, 3, 4, 5]	1.0
külső	ngoài	46	[0, 1, 2, 3, 4, 5]	1.0
üzem	nhà máy	10	[0, 1, 2, 3, 4, 5]	1.0
család	nhà	28	[0, 1, 2, 3, 4, 5]	1.0
család	gia đình	62	[0, 1, 2, 3, 4, 5]	1.0
apa	bố	41	[0, 1, 2, 3, 4, 5]	1.0
kemence	lò	11	[0, 1, 2, 3, 4, 5]	1.0
kohó	lò	3	[0, 1, 2, 3, 4, 5]	1.0
hagyma	hành	3	[0, 1, 2, 3, 4, 5]	1.0
nem	không	13439	[0, 1, 2, 3, 4, 5]	1.0
lány	con gái	29	[0, 1, 2, 3, 4, 5]	1.0
talaj	đất	12	[0, 1, 2, 3, 4, 5]	1.0
boldog	vui	37	[0, 1, 2, 3, 4, 5]	1.0
kályha	lò	26	[0, 1, 2, 3, 4, 5]	1.0
magas	cao	221	[0, 1, 2, 3, 4, 5]	1.0
haza	đất nước	2	[0, 1, 2, 3, 4, 5]	1.0
haza	nhà	108	[0, 1, 2, 3, 4, 5]	1.0
otthon	nhà	117	[0, 1, 2, 3, 4, 5]	1.0
ház	nhà	292	[0, 1, 2, 3, 4, 5]	1.0
ember	người	1646	[0, 1, 2, 3, 4, 5]	1.0
férj	đàn ông	2	[0, 1, 2, 3, 4, 5]	1.0
azonnal	lập tức	86	[0, 1, 2, 3, 4, 5]	1.0
pillanat	phút	55	[0, 1, 2, 3, 4, 5]	1.0
férfi	đàn ông	122	[0, 1, 2, 3, 4, 5]	1.0
sok	nhiều	320	[0, 1, 2, 3, 4, 5]	1.0
